id,vl_diff,cd_diff,vlogs_diff_mean,cds_diff_mean,n,payoffs,payoffs_b,nearest_payoff,classification_2,classification_3,classification_4,phen_1,str1_2,str1_3,str2_2,str2_3,str2_4,str2_5,str2_6,str2_7,batch_1,TB_1,GR_1
53,0.4572790305701564,-0.06078590482126528,0.01036795153766684,0.00431251384321148,79,-0.1651433779131996,0.5008164293907911,0.5296704141131363,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0
55,-0.06846339431236204,0.13773326560208488,0.01036795153766684,0.00431251384321148,79,-0.07910673987834066,-0.1266671083510134,-0.06612330648821005,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
56,0.11160123025650794,0.0228294727242215,0.01036795153766684,0.00431251384321148,79,-0.14828227808606087,0.17425110725788037,0.14702791357213757,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
58,-0.22803537695341047,0.4245091375615848,-0.18324088232080385,0.5866804711230271,32,0.0935409577383366,-0.1266671083510134,-0.19402123090027823,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
59,0.12214784252899176,0.2354468445358549,0.01036795153766684,0.00431251384321148,79,-0.02028022733553047,-0.1266671083510134,0.14702791357213757,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
60,-0.2688706366058201,0.4538395283833387,-0.18324088232080385,0.5866804711230271,32,0.11119873491105586,-0.07144209436151946,-0.19402123090027823,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
62,0.07607483333743728,0.2460054393092121,0.01036795153766684,0.00431251384321148,79,-0.01392363580908212,-0.02161086612053097,0.07369898968389911,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
64,0.11485334309459902,0.747829764445049,-0.18324088232080385,0.5866804711230271,32,0.28818969663675453,-0.02161086612053097,0.14702791357213757,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
65,-0.106152485579304,0.05753681048721983,0.01036795153766684,0.00431251384321148,79,-0.12738741718216912,-0.02161086612053097,-0.10760218017533396,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
66,0.16142174332752193,-0.10682863676904487,0.01036795153766684,0.00431251384321148,79,-0.1651433779131996,-0.02161086612053097,0.167824591606429,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
68,-0.3177518871084058,0.32011273851065514,-0.18324088232080385,0.5866804711230271,32,0.03069118654782196,-0.02161086612053097,-0.3439026780706041,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
